,target_col,fold,task_name,num_epochs,patience,batch_size,inner_atom_dim,conv_depth,sup_dropout_rate,use_ssl,unsup_dropout_rate,w,edge_dropout_rate,num_extra_data,rampup_length,lr_init,lr_base,lr_exp_multiplier,file_name,output_file,auc_file,auc_file_per_epoch,param_optim_file,train_auc,val_auc,test_auc
0,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,0.01,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6898,0.6236,0.675
1,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,0.01,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6817,0.6442,0.6783
2,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,0.01,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6772,0.6273,0.6895
3,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,1.0,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6613,0.6197,0.6943
4,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,1.0,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.7083,0.6374,0.6949
5,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,1.0,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6717,0.6472,0.6968
6,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,1000.0,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6505,0.6383,0.6428
7,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,1000.0,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6421,0.631,0.6812
8,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.1,1000.0,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.615,0.6568,0.6201
9,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,0.01,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6798,0.6364,0.6966
10,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,0.01,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6723,0.6295,0.6842
11,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,0.01,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6796,0.6258,0.7018
12,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,1.0,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6591,0.6421,0.6917
13,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,1.0,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6555,0.6414,0.6868
14,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,1.0,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.7004,0.6412,0.6866
15,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,1000.0,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.5791,0.5478,0.5933
16,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,1000.0,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.5253,0.4901,0.5302
17,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.5,1000.0,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.548,0.5111,0.5507
18,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,0.01,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6607,0.6304,0.685
19,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,0.01,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6772,0.6331,0.6846
20,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,0.01,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6523,0.612,0.6832
21,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,1.0,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6427,0.6138,0.6714
22,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,1.0,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6616,0.6133,0.6777
23,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,1.0,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.6789,0.6214,0.6856
24,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,1000.0,0.1,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.4683,0.4765,0.4568
25,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,1000.0,0.5,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.5906,0.52,0.5734
26,0,3,unsupervised3-3,100,50,64,128,2,0.2,1,0.9,1000.0,0.9,5000,0,0.0007,1000,-0.01,unsupervised3,results/unsupervised3.output,results/auc_file_unsupervised3.csv,results/test_auc_per_epoch_unsupervised3.csv,results/param_optim_unsupervised3.csv,0.5997,0.5637,0.6061
